partido_id,set_num,set_num_norm,strength_h,strength_a,strength_diff,set_wr_h,set_wr_a,diff_set_wr,forma_h,forma_a,diff_forma,pts_fav_h,pts_fav_a,h2h_diff,sets_h_antes,sets_a_antes,diff_sets_antes,momentum_h,es_desempate,ganador_set_local
2016/2017_Azimu_Diate_11Round,1,0.0,0.4286,0.5333,-0.10470000000000002,0.5095,0.5524,-0.04290000000000005,0.4286,0.5,-0.07140000000000002,3.5781,3.8954,-1.922,0,0,0,0.5,0,1
2016/2017_Azimu_Diate_11Round,1,0.0,0.4286,0.5333,-0.10470000000000002,0.5095,0.5524,-0.04290000000000005,0.4286,0.5,-0.07140000000000002,3.5781,3.8954,-1.922,1,0,1,1.0,0,1
2016/2017_Azimu_Diate_11Round,2,0.25,0.4286,0.5333,-0.10470000000000002,0.5095,0.5524,-0.04290000000000005,0.4286,0.5,-0.07140000000000002,3.5781,3.8954,-1.922,2,0,2,1.0,0,1
2016/2017_Azimu_Diate_11Round,2,0.25,0.4286,0.5333,-0.10470000000000002,0.5095,0.5524,-0.04290000000000005,0.4286,0.5,-0.07140000000000002,3.5781,3.8954,-1.922,3,0,3,1.0,0,0
2016/2017_Azimu_Diate_11Round,3,0.5,0.4286,0.5333,-0.10470000000000002,0.5095,0.5524,-0.04290000000000005,0.4286,0.5,-0.07140000000000002,3.5781,3.8954,-1.922,3,1,2,0.0,0,1
2016/2017_Azimu_Diate_11Round,3,0.5,0.4286,0.5333,-0.10470000000000002,0.5095,0.5524,-0.04290000000000005,0.4286,0.5,-0.07140000000000002,3.5781,3.8954,-1.922,4,1,3,1.0,0,1
2016/2017_Azimu_Diate_11Round,4,0.75,0.4286,0.5333,-0.10470000000000002,0.5095,0.5524,-0.04290000000000005,0.4286,0.5,-0.07140000000000002,3.5781,3.8954,-1.922,5,1,4,1.0,0,0
2016/2017_Azimu_Diate_11Round,5,1.0,0.4286,0.5333,-0.10470000000000002,0.5095,0.5524,-0.04290000000000005,0.4286,0.5,-0.07140000000000002,3.5781,3.8954,-1.922,5,2,3,0.0,1,1
2016/2017_Azimu_Gi Gr_9Round,1,0.0,0.4615,0.4286,0.03290000000000004,0.5275,0.5159,0.011599999999999944,0.4615,0.5,-0.03849999999999998,3.6397,3.6133,-1.565,0,0,0,0.5,0,1
2016/2017_Azimu_Gi Gr_9Round,1,0.0,0.4615,0.4286,0.03290000000000004,0.5275,0.5159,0.011599999999999944,0.4615,0.5,-0.03849999999999998,3.6397,3.6133,-1.565,1,0,1,1.0,0,1
2016/2017_Azimu_Gi Gr_9Round,2,0.25,0.4615,0.4286,0.03290000000000004,0.5275,0.5159,0.011599999999999944,0.4615,0.5,-0.03849999999999998,3.6397,3.6133,-1.565,2,0,2,1.0,0,0
