partido_id,temporada,jornada,fase,championship,equipo_local,equipo_visitante,resultado_final,set_num,puntos_local,puntos_visitante,ganador_set_local,set_largo
1971/1972_Panin_Petra_5Round,1971/1972,5 Round,2nd half,Regular Season A1,Panini Modena,Petrarca Padova,3-0,1,15,1,1,0
1971/1972_Panin_Petra_5Round,1971/1972,5 Round,1st half,Regular Season A1,Panini Modena,Petrarca Padova,3-0,1,15,12,1,0
1971/1972_Panin_Petra_5Round,1971/1972,5 Round,2nd half,Regular Season A1,Panini Modena,Petrarca Padova,3-0,2,15,5,1,0
1971/1972_Panin_Petra_5Round,1971/1972,5 Round,1st half,Regular Season A1,Panini Modena,Petrarca Padova,3-0,2,15,12,1,0
1971/1972_Panin_Petra_5Round,1971/1972,5 Round,2nd half,Regular Season A1,Panini Modena,Petrarca Padova,3-0,3,15,6,1,0
1971/1972_Panin_Petra_5Round,1971/1972,5 Round,1st half,Regular Season A1,Panini Modena,Petrarca Padova,3-0,3,15,13,1,0
1973/1974_Goren_Panin_13Round,1973/1974,13 Round,1st half,Regular Season A1,Panini Modena,Gorena Padova,3-1,1,15,12,1,0
1973/1974_Goren_Panin_13Round,1973/1974,13 Round,1st half,Regular Season A1,Panini Modena,Gorena Padova,3-1,2,15,11,1,0
1973/1974_Goren_Panin_13Round,1973/1974,13 Round,1st half,Regular Season A1,Panini Modena,Gorena Padova,3-1,3,9,15,0,0
1973/1974_Goren_Panin_13Round,1973/1974,13 Round,1st half,Regular Season A1,Panini Modena,Gorena Padova,3-1,4,16,14,1,0
1974/1975_Goren_Panin_5Round,1974/1975,5 Round,2nd half,Regular Season A1,Panini Modena,Gorena Padova,3-0,1,15,6,1,0
1974/1975_Goren_Panin_5Round,1974/1975,5 Round,2nd half,Regular Season A1,Panini Modena,Gorena Padova,3-0,2,15,13,1,0
1974/1975_Goren_Panin_5Round,1974/1975,5 Round,2nd half,Regular Season A1,Panini Modena,Gorena Padova,3-0,3,15,8,1,0
1977/1978_Derma_Panin_7Round,1977/1978,7 Round,1st half,Regular Season A1,Dermatrophine Padova,Panini Modena,3-1,1,15,5,1,0
1977/1978_Derma_Panin_7Round,1977/1978,7 Round,1st half,Regular Season A1,Dermatrophine Padova,Panini Modena,3-1,2,17,15,1,0
1977/1978_Derma_Panin_7Round,1977/1978,7 Round,1st half,Regular Season A1,Dermatrophine Padova,Panini Modena,3-1,3,13,15,0,0
1977/1978_Derma_Panin_7Round,1977/1978,7 Round,1st half,Regular Season A1,Dermatrophine Padova,Panini Modena,3-1,4,15,10,1,0
