feature,importance,std
h_win_rate_home,0.03769,0.01384
a_ultimo_set_diff,0.03456,0.01116
h_h2h_set_diff_exp,0.03075,0.01258
h_forma_home,0.03059,0.0138
a_h2h_set_diff_exp,0.02681,0.01062
a_win_rate_last5,0.0247,0.01158
a_set_win_rate,0.02358,0.00936
h_set_win_rate,0.02264,0.00892
a_win_rate_away,0.02034,0.01602
a_set_diff_exp,0.02019,0.01387
a_pts_fav_exp,0.0182,0.01048
a_forma_away,0.01102,0.00682
diff_pts_fav_exp,0.01083,0.01109
h_forma_away,0.00971,0.00419
a_win_rate_global,0.00904,0.00953
h_ultimo_set_diff,0.00868,0.00565
h_win_rate_last5,0.00855,0.00548
diff_rank_season,0.00518,0.00576
diff_win_rate_last5,0.00469,0.00548
diff_ultimo_set_diff,0.00457,0.00594
h_racha,0.00357,0.006
h_descanso,0.00345,0.00275
a_racha,0.00311,0.00689
diff_win_rate_global,0.00298,0.00328
diff_set_diff_exp,0.00296,0.00638
a_forma_home,0.00209,0.00245
a_pts_con_exp,0.0019,0.00555
h_set_diff_exp,0.00184,0.00448
h_pts_con_exp,0.00107,0.00407
a_descanso,0.00061,0.00081
a_win_rate_home,-3e-05,0.00357
diff_racha,-9e-05,0.00024
diff_set_win_rate,-0.00052,0.0015
h_pts_fav_exp,-0.00061,0.00203
h_win_rate_global,-0.00136,0.00386
a_rank_season,-0.00148,0.00607
diff_descanso,-0.00149,0.00144
h_rank_season,-0.0016,0.0009
h_h2h_win_rate,-0.00193,0.00107
a_h2h_win_rate,-0.00193,0.00107
diff_pts_con_exp,-0.00211,0.00088
diff_forma_efectiva,-0.0023,0.00712
h_win_rate_away,-0.00403,0.00424
