partido_id,temporada,local,visitante,gana_local,prob_local,prob_visit,pred_winner,correct,confidence
2016/2017_Centr_Pool _1Round,2016/2017,Brescia,Cantù,1,0.3254,0.6746,Cantù,0,0.3492
2016/2017_Gi Gr_Lube_1Round,2016/2017,Monza,Lube,0,0.2612,0.7388,Lube,1,0.4776
2016/2017_Basi _Emma _2Round,2016/2017,Lagonegro,Siena,0,0.3323,0.6677,Siena,1,0.3354
2016/2017_Kioen_Sir S_2Round,2016/2017,Padova,Perugia,0,0.2289,0.7711,Perugia,1,0.5421
2016/2017_Diate_Kioen_3Round,2016/2017,Trento,Padova,1,0.4259,0.5741,Padova,0,0.1481
2016/2017_Gi Gr_Milan_3Round,2016/2017,Monza,Milano,0,0.44,0.56,Milano,1,0.1199
2016/2017_Azimu_Kioen_4Round,2016/2017,Modena,Padova,0,0.3811,0.6189,Padova,1,0.2379
2016/2017_Basi _Pool _4Round,2016/2017,Lagonegro,Cantù,0,0.4065,0.5935,Cantù,1,0.1869
2016/2017_Basi _Sigma_4Round,2016/2017,Lagonegro,Aversa,0,0.58,0.42,Lagonegro,0,0.16
2016/2017_Gi Gr_Veron_4Round,2016/2017,Monza,Verona,0,0.4984,0.5016,Verona,1,0.0033
2016/2017_Basi _Centr_5Round,2016/2017,Lagonegro,Brescia,1,0.5627,0.4373,Lagonegro,1,0.1255
2016/2017_Lube_Milan_5Round,2016/2017,Lube,Milano,0,0.3935,0.6065,Milano,1,0.213
2016/2017_Diate_Sir S_6Round,2016/2017,Trento,Perugia,1,0.4405,0.5595,Perugia,0,0.119
2016/2017_Kioen_Lube_6Round,2016/2017,Padova,Lube,0,0.3437,0.6563,Lube,1,0.3126
2016/2017_Azimu_Sir S_7Round,2016/2017,Modena,Perugia,0,0.1923,0.8077,Perugia,1,0.6154
2016/2017_Gi Gr_Kioen_7Round,2016/2017,Monza,Padova,1,0.4237,0.5763,Padova,0,0.1525
2016/2017_Milan_Veron_7Round,2016/2017,Milano,Verona,0,0.4614,0.5386,Verona,1,0.0772
2016/2017_Azimu_Veron_8Round,2016/2017,Modena,Verona,1,0.5621,0.4379,Modena,1,0.1242
2016/2017_Diate_Milan_8Round,2016/2017,Trento,Milano,0,0.5325,0.4675,Trento,0,0.0651
2016/2017_Lube_Sir S_8Round,2016/2017,Lube,Perugia,0,0.428,0.572,Perugia,1,0.144
2016/2017_Azimu_Gi Gr_9Round,2016/2017,Modena,Monza,0,0.587,0.413,Modena,0,0.1741
2016/2017_Diate_Veron_9Round,2016/2017,Trento,Verona,0,0.321,0.679,Verona,1,0.358
2016/2017_Emma _Sigma_9Round,2016/2017,Siena,Aversa,0,0.3795,0.6205,Aversa,1,0.241
2016/2017_Kioen_Milan_9Round,2016/2017,Padova,Milano,1,0.3028,0.6972,Milano,0,0.3945
